Row_ID,Ship_Mode,Segment,State,Region,Category,Sub-Category,Sales,Discount,Profit
1,Second_Class,Consumer,Kentucky,South,Furniture,Bookcases,261.96,0,41.9136
2,Second_Class,Consumer,Kentucky,South,Furniture,Chairs,731.94,0,219.582
3,Second_Class,Corporate,California,West,Office_Supplies,Labels,14.62,0,6.8714
4,Standard_Class,Consumer,Florida,South,Furniture,Tables,957.5775,0.45,-383.031
5,Standard_Class,Consumer,Florida,South,Office_Supplies,Storage,22.368,0.2,2.5164
6,Standard_Class,Consumer,California,West,Furniture,Furnishings,48.86,0,14.1694
7,Standard_Class,Consumer,California,West,Office_Supplies,Art,7.28,0,1.9656
8,Standard_Class,Consumer,California,West,Technology,Phones,907.152,0.2,90.7152
9,Standard_Class,Consumer,California,West,Office_Supplies,Binders,18.504,0.2,5.7825
10,Standard_Class,Consumer,California,West,Office_Supplies,Appliances,114.9,0,34.47
11,Standard_Class,Consumer,California,West,Furniture,Tables,1706.184,0.2,85.3092
12,Standard_Class,Consumer,California,West,Technology,Phones,911.424,0.2,68.3568
13,Standard_Class,Consumer,North_Carolina,South,Office_Supplies,Paper,15.552,0.2,5.4432
14,Standard_Class,Consumer,Washington,West,Office_Supplies,Binders,407.976,0.2,132.5922
15,Standard_Class,Home_Office,Texas,Central,Office_Supplies,Appliances,68.81,0.8,-123.858
16,Standard_Class,Home_Office,Texas,Central,Office_Supplies,Binders,2.544,0.8,-3.816
17,Standard_Class,Consumer,Wisconsin,Central,Office_Supplies,Storage,665.88,0,13.3176
18,Second_Class,Consumer,Utah,West,Office_Supplies,Storage,55.5,0,9.99
19,Second_Class,Consumer,California,West,Office_Supplies,Art,8.56,0,2.4824
20,Second_Class,Consumer,California,West,Technology,Phones,213.48,0.2,16.011
21,Second_Class,Consumer,California,West,Office_Supplies,Binders,22.72,0.2,7.384
22,Standard_Class,Corporate,Nebraska,Central,Office_Supplies,Art,19.46,0,5.0596
23,Standard_Class,Corporate,Nebraska,Central,Office_Supplies,Appliances,60.34,0,15.6884
24,Second_Class,Consumer,Pennsylvania,East,Furniture,Chairs,71.372,0.3,-1.0196
25,Standard_Class,Consumer,Utah,West,Furniture,Tables,1044.63,0,240.2649
26,Second_Class,Consumer,California,West,Office_Supplies,Binders,11.648,0.2,4.2224
27,Second_Class,Consumer,California,West,Technology,Accessories,90.57,0,11.7741
28,Standard_Class,Consumer,Pennsylvania,East,Furniture,Bookcases,3083.43,0.5,-1665.0522
29,Standard_Class,Consumer,Pennsylvania,East,Office_Supplies,Binders,9.618,0.7,-7.0532
30,Standard_Class,Consumer,Pennsylvania,East,Furniture,Furnishings,124.2,0.2,15.525
31,Standard_Class,Consumer,Pennsylvania,East,Office_Supplies,Envelopes,3.264,0.2,1.1016
32,Standard_Class,Consumer,Pennsylvania,East,Office_Supplies,Art,86.304,0.2,9.7092
33,Standard_Class,Consumer,Pennsylvania,East,Office_Supplies,Binders,6.858,0.7,-5.715
34,Standard_Class,Consumer,Pennsylvania,East,Office_Supplies,Art,15.76,0.2,3.546
35,Second_Class,Home_Office,Texas,Central,Office_Supplies,Paper,29.472,0.2,9.9468
36,First_Class,Corporate,Texas,Central,Technology,Phones,1097.544,0.2,123.4737
37,First_Class,Corporate,Texas,Central,Furniture,Furnishings,190.92,0.6,-147.963
38,Standard_Class,Home_Office,Texas,Central,Office_Supplies,Envelopes,113.328,0.2,35.415
39,Standard_Class,Home_Office,Texas,Central,Furniture,Bookcases,532.3992,0.32,-46.9764
40,Standard_Class,Home_Office,Texas,Central,Furniture,Chairs,212.058,0.3,-15.147
41,Standard_Class,Home_Office,Texas,Central,Technology,Phones,371.168,0.2,41.7564
42,Standard_Class,Corporate,Illinois,Central,Technology,Phones,147.168,0.2,16.5564
43,Standard_Class,Corporate,California,West,Office_Supplies,Storage,77.88,0,3.894
44,Standard_Class,Corporate,Florida,South,Office_Supplies,Storage,95.616,0.2,9.5616
